abdominales aβðominales
estribo estɾiβo
grado ɡɾaðo
grado ɡɾaðo
examinando eɣsaminando
excusa eɣskusa
gesto xesto
expreso eɣspɾeso
extremas eɣstɾemas
jaloneo xaloneo
jugueteo xuɣeteo
justas xustas
jale xale
calavera kalaβeɾa
calavera kalaβeɾa
genoma xenoma
jurado xuɾaðo
jurado xuɾaðo
genética xenetika
extrema eɣstɾema
gramática ɡɾamatika
cachalote kaʧalote
guepardo ɡepaɾðo
antílope antilope
manejo manexo
anagrama anaɣɾama
presupuesto pɾesupwesto
labrado laβɾaðo
extremo eɣstɾemo
extremo eɣstɾemo
juro xuɾo
labro ˌlaβɾo
lagrimeo laɣɾimeo
ladras laðɾas
palmoteo palmoteo
lacra lakɾa
suprimir supɾimiɾ
laminado laminaðo
lacre lakɾe
parcha paɾʧa
parche paɾʧe
parloteo paɾloteo
misericordia miseɾikoɾðja
palpite palpite
ladra laðɾa
parpadeo paɾpaðeo
lastra lastɾa
parqueo paɾkeo
lavado laβaðo
partas paɾtas
pases pases
latas latas
latido latiðo
pastoreo pastoɾeo
palpo palpo
pataleo pataleo
patentado patentaðo
lidio liðjo
lidias liðjas
parado paɾaðo
liberta liβeɾta
lamento lamento
lidia liðja
lidia liðja
libras liβɾas
patentes patentes
pavimentado paβimentaðo
levante leβante
peinado pejnaðo
lija lixa
partes paɾtes
partes paɾtes
pedaleo peðaleo
pase pase
patrulla patɾuʝa
liberto liβeɾto
parodia paɾoðja
listado listaðo
pateo pateo
pasma pazma
pasma pazma
llenado ʝenaðo
listas listas
pasmo pazmo
limen limen
pelea pelea
pepena pepena
peralto peɾal̪to
pelado pelaðo
penas penas
limites limites
perjuro peɾxuɾo
penado penaðo
pernocta peɾnoɣta
luche luʧe
lloro ʝoɾo
picoteo pikoteo
pinchas pinʲʧas
pincha pinʲʧa
pinchado pinʲʧaðo
pilotes pilotes
pillas piʝas
pisoteo pisoteo
pirateo piɾateo
salar salaɾ
pisas pisas
planchado planʲʧaðo
planchas planʲʧas
pintas pintas
pincho pinʲʧo
logro loɣɾo
planeo planeo
planteo planteo
pilote pilote
pillo piʝo
plancha planʲʧa
plantes plantes
maduro maðuɾo
plantas plantas
pintado pintaðo
postulado postulaðo
postre postɾe
postres postɾes
pilla piʝa
pilla piʝa
piloto piloto
ponche ponʲʧe
poda poða
plagio plaxjo
prendería pɾendeɾia
premias pɾemjas
presiones pɾesjones
presagio pɾesaxjo
preste pɾeste
pregunta pɾeɣunta
plante plante
presumido pɾesumiðo
preparado pɾepaɾaðo
procuras pɾokuɾas
promedio pɾomeðjo
priva pɾiβa
premia pɾemja
pilota pilota
prometido pɾometiðo
piso piso
prestes pɾestes
privilegio pɾiβilexjo
maje maxe
maltrato mal̪tɾato
pulsado pulsaðo
profana pɾofana
propina pɾopina
punteo punteo
quemas kemas
mamas mamas
quita kita
queme keme
quedas keðas
manoseo manoseo
maravillas maɾaβiʝas
procura pɾokuɾa
marchamos maɾʧamos
marginado maɾxinaðo
propino pɾopino
maravilla maɾaβiʝa
profano pɾofano
protesto pɾotesto
marinas maɾinas
matriculado matɾikulaðo
mandado mandaðo
mejora mexoɾa
medras meðɾas
marro maro
medro meðɾo
meneo meneo
mareo maɾeo
menea menea
mengua meŋɡwa
manes manes
merodeo meɾoðeo
menoscabo menoskaβo
medra meðɾa
mancha manʲʧa
maniobra manjoβɾa
merma meɾma
modelado moðelaðo
moldeado mol̪deaðo
metas metas
monitoreo monitoɾeo
militares militaɾes
montas montas
minas minas
matas matas
montes montes
ninguneo niŋɡuneo
niveles niβeles
nominado nominaðo
notaría notaɾia
nombres nombɾes
novelas noβelas
nublo nuβlo
obsequio oβsekjo
pulso pulso
obras oβɾas
motivo motiβo
ofendas ofendas
ojeo oxeo
olfateo olfateo
notas notas
notas notas
olisqueo oliskeo
operando opeɾando
olvido olβiðo
orlas oɾlas
mimo mimo
mimo mimo
orilla oɾiʝa
orquesta oɾkesta
miras miɾas
orine oɾine
novela noβela
ovillo oβiʝo
nado naðo
mino mino
rasgueado razɣeaðo
raspado raspaðo
rasurado rasuɾaðo
rallo raʝo
rastreo rastɾeo
raspas raspas
ornamento oɾnamento
orla oɾla
rayado raʝaðo
rayas raʝas
reajustes reaxustes
rebajo reβaxo
rebase reβase
rebote reβote
recalo rekalo
rasgueo razɣeo
rechinado reʧinaðo
reajuste reaxuste
recolecta rekoleɣta
recaudo rekawðo
recobro rekoβɾo
raspa raspa
rapto raβto
reflejo reflexo
recorte rekoɾte
rebato reβato
refrendo refɾendo
regateo reɣateo
recreo rekɾeo
reglamento reɣlamento
reinas rejnas
relajo relaxo
regente rexente
reembolso reembolso
refugiado refuxjaðo
regentes rexentes
refugio refuxjo
remache remaʧe
relleno reʝeno
reclame reklame
reclamo reklamo
remojo remoxo
relato relato
remedo remeðo
remas remas
repaso repaso
remedio remeðjo
replanteo replanteo
reporte repoɾte
reposte reposte
repelo repelo
reposo reposo
reintegro reinteɣɾo
repregunta repɾeɣunta
reparto repaɾto
requisa rekisa
remate remate
resalto resal̪to
resalte resal̪te
repunte repunte
reforma refoɾma
relevo releβo
reproche repɾoʧe
restas restas
rema rema
repudio repuðjo
reparo repaɾo
retumbo retumbo
renta renta
resguardo rezɣwaɾðo
revelado reβelaðo
represa repɾesa
retiro retiɾo
retrasado retɾasaðo
retardado retaɾðaðo
salteado sal̪teaðo
reserva reseɾβa
salteo sal̪teo
revoloteo reβoloteo
revistas reβistas
salvado salβaðo
pepino pepino
salvas salβas
sancochado saŋkoʧaðo
sancocho saŋkoʧo
saludo saluðo
sangrado saŋɡɾaðo
retardo retaɾðo
saqueo sakeo
rondó rondo
reto reto
secretarías sekɾetaɾias
salvaguarda salβaɣwaɾða
secuestro sekwestɾo
retrato retɾato
sangres saŋɡɾes
reverbero reβeɾβeɾo
tableteo taβleteo
rimas rimas
sedas seðas
rotas rotas
robo roβo
salas salas
revista reβista
tajo taxo
serenas seɾenas
taladro talaðɾo
serpenteo seɾpenteo
tallado taʝaðo
tamborileo tamboɾileo
serrucho seruʧo
talares talaɾes
silbo silβo
tarareo taɾaɾeo
techado teʧaðo
tacho taʧo
tases tases
silba silβa
tacha taʧa
talle taʝe
tapia tapja
tecleo tekleo
sobado soβaðo
techo teʧo
tejería texeɾia
siseo siseo
sobras soβɾas
sedo seðo
sello seʝo
sobregiro soβɾexiɾo
tejo texo
tejo texo
tapado tapaðo
sobresalto soβɾesal̪to
serena seɾena
temes temes
sobrado soβɾaðo
solape solape
tintineo tintineo
tirado tiɾaðo
testas testas
tirita tiɾita
titubeo tituβeo
sondeo sondeo
sonrojo sonroxo
testimonio testimonjo
socorro sokoro
separo sepaɾo
tiras tiɾas
soporte sopoɾte
tonteo tonteo
salva salβa
templo templo
titulares titulaɾes
sobra soβɾa
sorteo soɾteo
sospechas sospeʧas
titulado titulaðo
toreo toɾeo
sospecha sospeʧa
sospecho sospeʧo
tomas tomas
sorbo soɾβo
torpedeo toɾpeðeo
toqueteo toketeo
sublevado suβleβaðo
subcontrato suβkontɾato
torturas toɾtuɾas
traba tɾaβa
torneo toɾneo
subasta suβasta
tramado tɾamaðo
tramo tɾamo
subordinado suβoɾðinaðo
sujeto suxeto
transa tɾansa
suministro suministɾo
sumas sumas
traqueteo tɾaketeo
tempero tempeɾo
traspaso tɾaspaso
trasplante tɾasplante
surtido suɾtiðo
traslado tɾaslaðo
transportes tɾanspoɾtes
torno toɾno
transbordo tɾanzβoɾðo
trastorno tɾastoɾno
suturas sutuɾas
trama tɾama
trinche tɾinʲʧe
trepa tɾepa
tumbo tumbo
trillo tɾiʝo
uniformado unifoɾmaðo
trata tɾata
tributo tɾiβuto
trilla tɾiʝa
trilla tɾiʝa
vadeo baðeo
turno tuɾno
trote tɾote
uniformes unifoɾmes
vallado baʝaðo
vapuleo bapuleo
vagabundeo baɣaβundeo
trino tɾino
vedas beðas
valores baloɾes
susurro susuro
veneras beneɾas
sutura sutuɾa
sustento sustento
vedado beðaðo
veraneo beɾaneo
verdeo beɾðeo
vetas betas
viajes bjaxes
vidriado biðɾjaðo
velas belas
vendas bendas
vibras biβɾas
vendido bendiðo
vidrio biðɾjo
suspiro suspiɾo
turba tuɾβa
turba tuɾβa
viras biɾas
uniforme unifoɾme
volteo bol̪teo
vibra biβɾa
valse balse
suma suma
venero beneɾo
varo baɾo
vislumbre bislumbɾe
garrapata ɡarapata
voleo boleo
seudónimo sewðonimo
panatela panatela
álgebra alxeβɾa
ornitorrinco oɾnitoriŋko
herramienta eramjenta
elefanta elefanta
alquitrán alkitɾan
leopardo leopaɾðo
álbum alβun
chefs ʧefs
historiador istoɾjaðoɾ
melena melena
melena melena
foca foka
resaca resaka
vira biɾa
brindis bɾindis
dardo daɾðo
flecha fleʧa
crocodilo kɾokoðilo
crac kɾak
crac kɾak
libélula liβelula
naca naka
tartaruga taɾtaɾuɣa
taxonomía taɣsonomia
alrededor alreðeðoɾ
gurú ɡuɾu
jumento xumento
ametralladora ametɾaʝaðoɾa
creatividad kɾeatiβiðað
hamaca amaka
dugongo duɣoŋɡo
aleta aleta
terrorista teroɾista
camelo kamelo
peón peon
peón peon
suvenir suβeniɾ
boxeadora boɣseaðoɾa
pista pista
rol rol
rol rol
tlacuache tlakwaʧe
huarache w̝aɾaʧe
motorista motoɾista
aviador aβjaðoɾ
paranoico paɾanojko
crisantemo kɾisantemo
criterio kɾiteɾjo
minuendo minwendo
cristiana kɾistjana
cristo kɾisto
hipérbole ipeɾβole
secante sekante
secante sekante
cateto kateto
cateto kateto
windsurf winsuɾf
tangente taŋxente
crespo kɾespo
obturador oβtuɾaðoɾ
cripta kɾiβta
cristiano kɾistjano
cretina kɾetina
elipse eliβse
cretino kɾetino
ecólogo ekoloɣo
astrónomo astɾonomo
crisma kɾizma
creta kɾeta
cresta kɾesta
piocha pjoʧa
hexágono eɣsaɣono
claustrofobia klawstɾofoβja
alabastro alaβastɾo
cacto kaɣto
rafting raftin
jeep ʝip
moda moða
orquídea oɾkiðea
ecologista ekoloxista
emoticón emotikon
caqui kaki
caqui kaki
agorafobia aɣoɾafoβja
perilla peɾiʝa
tolva tolβa
shogi soɣi
eucalipto ewkaliβto
mirto miɾto
brasserie bɾaseɾi
longo loŋɡo
caries kaɾjes
muscarina muskaɾina
violeta bjoleta
violeta bjoleta
violeta bjoleta
bursa buɾsa
necrofilia nekɾofilja
porra pora
trufa tɾufa
tricot tɾiko
amplitud amplituð
paradigma paɾaðiɣma
chinampa ʧinampa
franco fɾaŋko
escarabajo eskaɾaβaxo
croma kɾoma
afros afɾos
pterodáctilo teɾoðaɣtilo
francos fɾaŋkos
bibliotecaria biβljotekaɾja
bibliotecario biβljotekaɾjo
interrogatorio interoɣatoɾjo
baboso baβoso
enterobacteria enteɾoβaɣteɾja
infanta iɱfanta
cromosfera kɾomosfeɾa
episteme episteme
cromosoma kɾomosoma
playera plaʝeɾa
camiseta kamiseta
playero plaʝeɾo
hermosura eɾmosuɾa
guardia ɡwaɾðja
guardia ɡwaɾðja
gavial ɡaβjal
toques tokes
viso biso
cronista kɾonista
aburrimiento aβurimjento
sanitaria sanitaɾja
fibrosis fiβɾosis
haloperidol alopeɾiðol
sacramental sakɾamental
cuestión kwestjon
camisa kamisa
nanobacteria nanoβaɣteɾja
grano ɡɾano
cubismo kuβizmo
hacha aʧa
hacha aʧa
asta asta
expositor eɣspositoɾ
expositor eɣspositoɾ
naranjo naɾaŋxo
tamal tamal
camarón kamaɾon
crudo kɾuðo
ballena baʝena
esquí eski
paladar palaðaɾ
tron tɾon
epónimo eponimo
germana xeɾmana
culto kul̪to
cubano kuβano
infante iɱfante
bendito bendito
cubana kuβana
presa pɾesa
presa pɾesa
parlante paɾlante
coste koste
madero maðeɾo
cupo kupo
chele ʧele
chele ʧele
chele ʧele
rubo ruβo
volate bolate
illo iʝo
guiri ɡiɾi
guiri ɡiɾi
artemisia aɾtemisja
macramé makɾame
gardenia ɡaɾðenja
onda ˌbwena onda
megabit meɣaβit
brea bɾea
hiel ʝel
gabán ɡaβan
oros oɾos
rasero raseɾo
chiquitina ʧikitina
chiquito ʧikito
chiquitín ʧikitin
puerro pwero
adverbio aðβeɾβjo
camote kamote
alcachofa alkaʧofa
no no
no numeɾo
raso raso
curato kuɾato
verbo beɾβo
skyline eskajlain
nagua naɣwa
enagua enaɣwa
curioso kuɾjoso
rada raða
spirulina espiɾulina
reordenamiento reoɾðenamjento
vegetariano bexetaɾjano
alfabetismo alfaβetizmo
falda fal̪da
rallador raʝaðoɾ
inquilino iŋkilino
lavanda laβanda
camelia kamelja
mesero meseɾo
vesania besanja
camarero kamaɾeɾo
sierpe sjeɾpe
damasco damasko
rosario rosaɾjo
monito monito
pollito poʝito
pulque pulke
galo ɡalo
basilisco basilisko
gastroenteritis ɡastɾoenteɾitis
rapsodia raβsoðja
tagua taɣwa
realismo realizmo
atleta atleta
elenco eleŋko
felino felino
michi miʧi
comestibles komestiβles
licuadora likwaðoɾa
dinosauro dinosawɾo
conidia koniðja
pasaje pasaxe
iros iɾos
radiosonda raðjosonda
afelio afeljo
diurno djuɾno
elfo elfo
podrida ˌoʝa poðɾiða
comestible komestiβle
poto poto
dispositivo dispositiβo
andantes andantes
matrimonio matɾimonjo
olivo oliβo
mojados moxaðos
banyo baɲʝo
vigilia bixilja
cosplayer kosplaʝeɾ
persa peɾsa
persa peɾsa
irlanda iɾlanda
malato malato
española espaɲola
briefing bɾifin
paraguaya paɾaɣwaʝa
adenoide aðenojðe
paraguayo paɾaɣwaʝo
paraguayo paɾaɣwaʝo
peruviana peɾuβjana
polonés polones
entusiasta entusjasta
cantante kantante
ansia ansja
regista rexista
vaginismo baxinizmo
maltesa mal̪tesa
polaca polaka
maltés mal̪tes
maltés mal̪tes
monegasca moneɣaska
finlandesa finlandesa
ventoso bentoso
andorrana andorana
peruana peɾwana
champú ʧampu
portugués poɾtuɣes
portugués poɾtuɣes
monegasco moneɣasko
mesa ˌteniz ðe mesa
session ˌʝam seʃjon
condominio kondominjo
cosplay kosplej
andorrano andorano
irlandesa iɾlandesa
inbox imboɣs
electro eleɣtɾo
electro eleɣtɾo
temperatura tempeɾatuɾa
porqué poɾke
pretérito pɾeteɾito
skinhead eskineð
museo museo
decano dekano
pañal paɲal
slasher eslaʃeɾ
bulto bul̪to
madroño maðɾoɲo
consonante konsonante
verdura beɾðuɾa
estero esteɾo
mensura mensuɾa
rododendro roðoðendɾo
asma azma
pimentón pimenton
laboratorio laβoɾatoɾjo
terremoto teremoto
cartón kaɾton
pimiento pimjento
pelota pelota
pelota pelota
corpiño koɾpiɲo
avocados aβokaðos
chelo ʧelo
chelo ʧelo
monumento monumento
limpiaparabrisas limpjapaɾaβɾisas
poltrona pol̪tɾona
salmuera salmweɾa
parrilla pariʝa
ferri feri
lástima lastima
m'ijo mixo
gladio ɡlaðjo
veterinaria beteɾinaɾja
veterinaria beteɾinaɾja
veterinario beteɾinaɾjo
artista aɾtista
proteobacteria pɾoteoβaɣteɾja
nogal noɣal
neologismo neoloxizmo
comido ˌpaŋ komiðo
giardiasis xjaɾðjasis
imán iman
imán iman
panocha panoʧa
bechamel beʧamel
iPhone ajfon
autista awtista
ayahuasca aʝawaska
sopaipilla sopajpiʝa
encantador eŋkantaðoɾ
cañones kaɲones
interno inteɾno
MENA mena
flameado ˌkeso flameaðo
tacaño takaɲo
churro ʧuro
churro ʧuro
infinito iɱfinito
stiletto estileto
Picasso pikaso
vasca baska
gobernador ɡoβeɾnaðoɾ
fontana fontana
dupla dupla
delantal delantal
arteriola aɾteɾjola
ensalada ensalaða
avenida aβeniða
mercato meɾkato
tirante tiɾante
tonta tonta
mercante meɾkante
tachi taʧi
califa kalifa
santuario santwaɾjo
cambur kambuɾ
fonda fonda
panero paneɾo
lipo lipo
foresta foɾesta
tetrarca tetɾaɾka
diverticulitis diβeɾtikulitis
hamburguesa ambuɾɣesa
hamburguesa ambuɾɣesa
lulo lulo
pescado peskaðo
organismo oɾɣanizmo
pentano pentano
pentatleta pentatleta
auroras awɾoɾas
fines fines
locales lokales
magro maɣɾo
defensor defensoɾ
lenteja lentexa
arias aɾjas
vistas bistas
smartphone zmaɾðfon
chorrillana ʧoriʝana
león leon
descamisado deskamisaðo
descamisado deskamisaðo
gayo ɡaʝo
obeso oβeso
tirso tiɾso
mater ˌalma mateɾ
quemadora kemaðoɾa
abuelos aβwelos
abuelas aβwelas
perineo peɾineo
tablas taβlas
remix rimiɣs
gaje ɡaxe
acusador akusaðoɾ
teda teða
tentativa tentatiβa
tute tute
harpa aɾpa
pan pan
cólico koliko
tocayo tokaʝo
vial bjal
vial bjal
capibara kapiβaɾa
delirio deliɾjo
puchito puʧito
tenente tenente
gonorrea ɡonorea
pujo puxo
skincare skiŋkeɾ
periferia peɾifeɾja
miseria miseɾja
morfología moɾfoloxia
ferroviaria feroβjaɾja
ferroviario feroβjaɾjo
favela faβela
queimada kejmaða
rampa rampa
rampa rampa
lechuga leʧuɣa
picas pikas
picas pikas
eufemismo ewfemizmo
mano ˌmano a mano
chocha ʧoʧa
molido moliðo
coadjutor koaðxutoɾ
demiurgo demjuɾɣo
demagogo demaɣoɣo
estera esteɾa
terapia teɾapja
hindú indu
canela kanela
trova tɾoβa
demagogia demaɣoxja
ganglio ɡaŋɡljo
opera esˌpejs opeɾa
metros metɾos
mías mias
tuyas tuʝas
propietaria pɾopjetaɾja
predictor pɾeðiɣtoɾ
propietario pɾopjetaɾjo
mía mia
rock ˌxaɾð rok
tuya tuʝa
tuya tuʝa
epinefrina epinefɾina
alcaldía alkal̪dia
tuit twit
olmo olmo
insulina insulina
nailon najlon
marxismo maɾɣsizmo
infarto iɱfaɾto
impedimento impeðimento
comunismo komunizmo
casal kasal
comunista komunista
dinamismo dinamizmo
losa losa
marxista maɾɣsista
hombres ombɾes
cuna kuna
bursitis buɾsitis
demonio demonjo
apetito apetito
destornillador destoɾniʝaðoɾ
infraestructura iɱfɾaestɾuɣtuɾa
caramelo kaɾamelo
paraíso paɾaiso
buque buke
pantera panteɾa
preservativo pɾeseɾβatiβo
chompa ʧompa
talento talento
vinagre binaɣɾe
oruga oɾuɣa
sulfuro sulfuɾo
tacaña takaɲa
neerlandés neeɾlandes
neerlandés neeɾlandes
hidrogeno iðɾoxeno
conquistadores koŋkistaðoɾes
merino meɾino
cañón kaɲon
fresno fɾezno
gobernadores ɡoβeɾnaðoɾes
currutaca kurutaka
currutaca kurutaka
lardo laɾðo
constructor konstɾuɣtoɾ
paria paɾja
pluses pluses
cardamomo kaɾðamomo
prisma pɾizma
tronco tɾoŋko
tronco tɾoŋko
arpista aɾpista
conquistador koŋkistaðoɾ
ananás ananas
castellana kasteʝana
lampo lampo
secretor sekɾetoɾ
geco xeko
europea ewɾopea
lapo lapo
tipa tipa
tipa tipa
claxon klaɣson
intermedio inteɾmeðjo
puntilla puntiʝa
palermitano paleɾmitano
tiburón tiβuɾon
mexicana mexikana
pausa pawsa
imprevisto impɾeβisto
incremento iŋkɾemento
helecho eleʧo
inconveniente iŋkombenjente
indicativo indikatiβo
indigente indixente
tostadora tostaðoɾa
infortunio iɱfoɾtunjo
afta afta
indiano indjano
gei ɡej
aborigen aβoɾixen
infamia iɱfamja
ingenuo iŋxenwo
boya boʝa
querida keɾiða
religión relixjon
intemperie intempeɾje
interrogante interoɣante
intermediario inteɾmeðjaɾjo
folleto foʝeto
integralista inteɣɾalista
ingrato iŋɡɾato
diseño diseɲo
dobladillo doβlaðiʝo
hemianopsia emjanoβsja
ruedo rweðo
seres seɾes
golfo ɡolfo
golfo ɡolfo
corticosteroide koɾtikosteɾojðe
afilado afilaðo
rueda rweða
rueda rweða
temario temaɾjo
estradiol estɾaðjol
tripas tɾipas
cao kao
inventario imbentaɾjo
hemeralopia emeɾalopja
yue ʝwe
intransigente intɾansixente
intruso intɾuso
terna teɾna
parasailing paɾasejlin
bao bao
hemianopsias emjanoβsjas
altos al̪tos
eras eɾas
parenting paɾentin
avellana aβeʝana
involucro imbolukɾo
tola tola
tripa tɾipa
noruega noɾweɣa
nórdica noɾðika
británico bɾitaniko
danesa danesa
anemones anemones
nórdico noɾðiko
galesa ɡalesa
galés ɡales
galés ɡales
estonios estonjos
estonias estonjas
holandesa olandesa
letona letona
rumana rumana
luxemburguesa luɣsembuɾɣesa
marañón maɾaɲon
estonio estonjo
estonio estonjo
eslovenos esloβenos
eslovacos esloβakos
danés danes
danés danes
lexemas leɣsemas
eslovenas esloβenas
islandesa islandesa
ratel ratel
holandés olandes
holandés olandes
eslovacas esloβakas
rumano rumano
rumano rumano
sueca sweka
lituanas litwanas
lexema leɣsema
escandinavo eskandinaβo
herma eɾma
lituanos litwanos
neerlandesa neeɾlandesa
nominativo nominatiβo
confidente koɱfiðente
perno peɾno
jazzista ʝasista
purga puɾɣa
albanesa alβanesa
irritante iritante
escandinava eskandinaβa
eslovaca esloβaka
idiosincrasia iðjosiŋkɾasja
itinerario itineɾaɾjo
búlgara bulɣaɾa
eslovena esloβena
nafta nafta
islandés islandes
islandés islandes
amaurosis amawɾosis
lituana litwana
biberón biβeɾon
envoltura embol̪tuɾa
estuche estuʧe
eslovaco esloβako
eslovaco esloβako
búlgaro bulɣaɾo
búlgaro bulɣaɾo
esloveno esloβeno
esloveno esloβeno
hiedra ʝeðɾa
banga baŋɡa
belga belɣa
croata kɾoata
croata kɾoata
pascua paskwa
idealista iðealista
papayo papaʝo
túnel tunel
cautela kawtela
afgano avɣano
estadísticas estaðistikas
chango ʧaŋɡo
cuica kwika
astrolabio astɾolaβjo
recámara rekamaɾa
chante ʧante
coquetería koketeɾia
longan loŋɡan
papagayo papaɣaʝo
grupa ɡɾupa
mojito moxito
ignorante iɣnoɾante
bautista bawtista
papas papas
destinatario destinataɾjo
bulbul bulβul
emigrante emiɣɾante
horno oɾno
filón filon
anglosajón aŋɡlosaxon
anglosajón aŋɡlosaxon
detergente deteɾxente
pilón pilon
mayate maʝate
detrimento detɾimento
detrito detɾito
aval aβal
trucha tɾuʧa
anfibio aɱfiβjo
dependiente dependjente
lapidario lapiðaɾjo
tauromaquia tawɾomakja
laico lajko
corsario koɾsaɾjo
oidor ojðoɾ
totora totoɾa
filibustero filiβusteɾo
malanga malaŋɡa
laringe laɾiŋxe
glande ɡlande
legua leɣwa
ñema ɲema
ñema ɲema
troglodita tɾoɣloðita
imperativo impeɾatiβo
trombón tɾombon
timple timple
cotorra kotora
conchatumadre ˌkonʲʧatumaðɾe
diarrea djarea
diatriba djatɾiβa
ocas okas
bochinche boʧinʲʧe
lavaplatos laβaplatos
diadema djaðema
lavavajillas laβaβaxiʝas
virreinato birejnato
styling estajlin
antónimos antonimos
sinónimos sinonimos
acrónimo akɾonimo
aramea aɾamea
cayo kaʝo
impronta impɾonta
dieta djeta
dieta djeta
sacramento sakɾamento
vieira bjejɾa
impulso impulso
simples simples
guajira ɡwaxiɾa
milord miloɾ
guajiro ɡwaxiɾo
guajiro ɡwaxiɾo
cualidad kwaliðað
muesli mwesli
capitán kapitan
altruismo al̪tɾwizmo
coipo kojpo
hurón uɾon
visón bison
planing planin
manatí manati
damán daman
mangosta maŋɡosta
saeta saeta
epigastralgia epiɣastɾalxja
hámster xamsteɾ
camello kameʝo
altruista al̪tɾuista
fluido flwiðo
martirio maɾtiɾjo
vendita bendita
fase fase
catedral kateðɾal
cani kani
mandil mandil
cólera koleɾa
cólera koleɾa
culturista kul̪tuɾista
patrimonio patɾimonjo
ambientalista ambjentalista
aeronave aeɾonaβe
acromegalia akɾomeɣalja
carbón kaɾβon
prea pɾea
pistoleros pistoleɾos
pistolero pistoleɾo
estafeta estafeta
léxico leɣsiko
dragón dɾaɣon
planetario planetaɾjo
emblema emblema
laudo lawðo
epopeya epopeʝa
letame letame
sanitario sanitaɾjo
sanitario sanitaɾjo
palestra palestɾa
euforbia ewfoɾβja
mulo mulo
dónde donde
verbasco beɾβasko
bordura boɾðuɾa
requisito rekisito
magistratura maxistɾatuɾa
estaca estaka
ateo ateo
rábano raβano
poligamia poliɣamja
bares baɾes
madama maðama
clona klona
emotivo emotiβo
seguro seɣuɾo
perdón peɾðon
tatuaje tatwaxe
normativa noɾmatiβa
expolio eɣspoljo
contagios kontaxjos
monogamia monoɣamja
compresa kompɾesa
safir safiɾ
afgani avɣani
soliloquio solilokjo
debilidad deβiliðað
vuelo bwelo
ingrediente iŋɡɾeðjente
ternura teɾnuɾa
permiso peɾmiso
tufo tufo
tufo tufo
chiste ʧiste
pelaje pelaxe
autóctono awtoɣtono
tutela tutela
minimalismo minimalizmo
calcar kalkaɾ
gelatina xelatina
vibrante biβɾante
anarquista anaɾkista
minimalista minimalista
albahaca alβaaka
restante restante
hinojo inoxo
hinojo inoxo
pimienta pimjenta
anís anis
apócope apokope
calamita kalamita
firmante fiɾmante
formol foɾmol
magnetismo maɣnetizmo
manjar maŋxaɾ
levita leβita
levita leβita
trasero tɾaseɾo
promesa pɾomesa
responsable responsaβle
spray espɾaj
contino kontino
delineante delineante
súper supeɾ
maestra maestɾa
calmante kalmante
contaminante kontaminante
romcom romkom
chicha ʧiʧa
chicha ʧiʧa
arabesco aɾaβesko
ene ene
turbante tuɾβante
votante botante
quenepa kenepa
extracomunitario eɣstɾakomunitaɾjo
trofeo tɾofeo
festivo festiβo
informante iɱfoɾmante
invento imbento
vuelta bwel̪ta
patrono patɾono
garba ɡaɾβa
residente resiðente
inquina iŋkina
alfarero alfaɾeɾo
ocotillo okotiʝo
amistad amistað
papi papi
implemento implemento
colet kolet
claustro klawstɾo
trombo tɾombo
calda kal̪da
colorante koloɾante
antorcha antoɾʧa
popola popola
teniente tenjente
mueca mweka
fauno fawno
hipogrifo ipoɣɾifo
geriatra xeɾjatɾa
galón ɡalon
galón ɡalon
titina titina
leño leɲo
pediatra peðjatɾa
mandrágora mandɾaɣoɾa
pagano paɣano
buche buʧe
pagante paɣante
regate reɣate
compañía kompaɲia
ortopedia oɾtopeðja
paga paɣa
miga miɣa
uchuva uʧuβa
morbo moɾβo
güey ɡwej
significante siɣnifikante
abacalera aβakaleɾa
manco maŋko
manco maŋko
manco maŋko
abacalero aβakaleɾo
placa plaka
buey bwej
maestre maestɾe
comunicante komunikante
abacá aβaka
meninge meniŋxe
salvaguardia salβaɣwaɾðja
fumigante fumiɣante
adarga aðaɾɣa
vagante baɣante
lucro lukɾo
litigante litiɣante
siberiano siβeɾjano
nomenclatura nomeŋklatuɾa
aromaterapia aɾomateɾapja
covacha koβaʧa
conservante konseɾβante
cambiante kambjante
congoleño koŋɡoleɲo
cueva kweβa
revoco reβoko
chiita ʧiita
shií ʃii
galera ɡaleɾa
dietista djetista
gallo ˌpiko ðe ɣaʝo
puesto pwesto
reconquista rekoŋkista
tomatillo tomatiʝo
marsala maɾsala
marsala maɾsala
fiasco fjasko
consumista konsumista
alosa alosa
alosa alosa
cooperativa koopeɾatiβa
afgana avɣana
toscano toskano
toscano toskano
africana afɾikana
perito peɾito
perito peɾito
cheta ʧeta
fotocopia fotokopja
epilepsia epileβsja
cruda kɾuða
controversia kontɾoβeɾsja
composta komposta
guaste ɡwaste
coreana koɾeana
emotiva emotiβa
extracomunitaria eɣstɾakomunitaɾja
famosa famosa
fatua fatwa
discoteca diskoteka
inclusa iŋklusa
ingenua iŋxenwa
cuba kuβa
intermedia inteɾmeðja
veras beɾas
veras beɾas
iraniana iɾanjana
lapidaria lapiðaɾja
ingrata iŋɡɾata
magra maɣɾa
primaria pɾimaɾja
poca poka
mediana meðjana
nativa natiβa
narrativa naratiβa
través tɾaβes
rotonda rotonda
parca paɾka
suprema supɾema
tronca tɾoŋka
médico meðiko
vegetariana bexetaɾjana
cónyuge koɲʝuxe
siberiana siβeɾjana
auditorio awðitoɾjo
