abactor ɐbɐktoɾ
terapêutica tɨɾɐpewtikɐ
pletora plɛtɔɾɐ
futurista futuɾiʃtɐ
fole fɔlɨ
fole fɔlɨ
fole fɔlɨ
ordenada ɔɾdɨnadɐ
ideia idɐjɐ
nectarina nɛktɐɾinɐ
resplandor ʁɨʃplɐ̃doɾ
lignina liɡininɐ
tropel tɾupɛl
pretexto pɾɨtɐjʃtu
cotidiano kutidjɐnu
jararaca ʒɐɾɐɾakɐ
zootecnia zuɔtɛkniɐ
lucidez lusideʃ
volumetria vulumɨtɾiɐ
conservadora kõsɨɾvɐdoɾɐ
pormenores puɾmɨnɔɾɨʃ
hermafrodita iɾmɐfɾuditɐ
pormenor puɾmɨnɔɾ
meditação mɨditɐsɐ̃w̃
francófono fɾɐ̃kɔfunu
patogenia patɔʒɨniɐ
acridina ɐkɾidinɐ
regato ʁɨɡatu
tectónica tɛktɔnikɐ
sismómetros siʒmɔmɨtɾuʃ
sistemáticas siʃtɨmatikɐʃ
sismómetro siʒmɔmɨtɾu
sistemática siʃtɨmatikɐ
sacudida sɐkudidɐ
cus kuʃ
biomedicina ˌbiɔmɨdisinɐ
súbdita subditɐ
citosina situzinɐ
aneuploidia ɐnewplojdiɐ
organizada ɔɾɡɐnizadɐ
observadora ɔbsɨɾvɐdoɾɐ
fechados fɨʃaduʃ
elástico ilaʃtiku
pegada pɛɡadɐ
pegada pɨɡadɐ
fechado fɨʃadu
candelas kɐ̃dɛlɐʃ
convencida kõvẽsidɐ
remos ʁɛmuʃ
fecho fɐ(j)ʃu
autoestima ˌawtɔ(i)ʃtimɐ
eucariota ewkɐɾjɔtɐ
animadora ɐnimɐdoɾɐ
colona kulonɐ
catre katɾɨ
animador ɐnimɐdoɾ
comadres kumadɾɨʃ
catres katɾɨʃ
picada pikadɐ
filogenia filuʒɨniɐ
acrobacia ɐkɾubɐsiɐ
anónima ɐnɔnimɐ
timina timinɐ
oxidante ɔksidɐ̃tɨ
pensadora pẽsɐdoɾɐ
psicoterapeuta psikutɨɾɐpewtɐ
maxixe mɐʃiʃɨ
maxixe mɐʃiʃɨ
kantiano kɐ̃tjɐnu
joelho ʒwɐ(j)ʎu
paleta pɐletɐ
portadora puɾtɐdoɾɐ
isotropia izɔtɾupiɐ
tanorexia tɐnɔɾɛksiɐ
amidol ɐmidɔl
isometria izumɨtɾiɐ
homónimo ɔmɔnimu
aerofobia ɐˌɛɾɔfubiɐ
coleta kuletɐ
coleta kulɛtɐ
inambu inɐ̃bu
clavícula klɐvikulɐ
grei ɡɾɐj
jovens ʒɔvɐ̃j̃ʃ
estupor (i)ʃtupoɾ
astros aʃtɾuʃ
nadadora nɐdɐdoɾɐ
astrólogo ɐʃtɾɔluɡu
precursora pɾɨkuɾsoɾɐ
desertora dɨzɨɾtoɾɐ
orogenia ɔɾuʒɨniɐ
desertor dɨzɨɾtoɾ
brida bɾidɐ
higiene iʒjɛnɨ
chupada ʃupadɐ
etólogo ɛtɔluɡu
balso balsu
cibernética sibɨɾnɛtikɐ
colocolo ˌkɔlukɔlu
sopé supɛ
semáforos sɨmafuɾuʃ
falsete falsetɨ
migas miɡɐʃ
SRD sʁd
inválido ĩvalidu
intervalo ĩtɨɾvalu
centrismo sẽtɾiʒmu
bicameralismo bikɐmɨɾɐliʒmu
modernismo mudɨɾniʒmu
fundadora fũdɐdoɾɐ
leprosaria lɨpɾuzɐɾiɐ
angelologia ɐ̃ʒɨluluʒiɐ
místico miʃtiku
mística miʃtikɐ
ribeirinho ʁibɐjɾiɲu
ribeirinho ʁibɐjɾiɲu
marabunta mɐɾɐbũtɐ
teurgia tjuɾʒiɐ
aspas aʃpɐʃ
aspas aʃpɐʃ
lógicas lɔʒikɐʃ
genómica ʒɨnɔmikɐ
tribologia tɾibuluʒiɐ
bióloga biɔluɡɐ
biólogo biɔluɡu
processamento pɾusɨsɐmẽtu
globulina ɡlubulinɐ
poliartrite ˌpɔliɐɾtɾitɨ
cloracne kluɾaknɨ
bonapartista bonɐpɐɾtiʃtɐ
água kɐ̃w̃ d‿aɡwɐ
timbo tĩbu
artralgia ɐɾtɾalʒiɐ
condrite kõdɾitɨ
artropatia ɐɾtɾupɐtiɐ
água kɐ̃w̃ d‿aɡwɐ
formigueiro ˌpoɾkufuɾmiɡɐjɾu
abadessa ɐbɐdesɐ
poliedro pɔljɛdɾu
silano silɐnu
monoteísmo ˌmɔnɔtɐiʒmu
lógicos lɔʒikuʃ
epistemólogo ipiʃtɨmɔluɡu
fortunas fuɾtunɐʃ
terra ˌpoɾkudɐtɛʁɐ
ciclos sikluʃ
microscopia mikɾɔʃkupiɐ
translação tɾɐ̃ʒlasɐ̃w̃
sotaque sutakɨ
abundância ɐbũdɐ̃sjɐ
olefina ɔlɨfinɐ
antiprisma ˌɐ̃tipɾiʒmɐ
posologia puzuluʒiɐ
polonês puluneʃ
polonês puluneʃ
derivada dɨɾivadɐ
sintoma sĩtomɐ
dentada dẽtadɐ
anular dedu ɐnulaɾ
veado vjadu
hebraico ibɾajku
solar siʃtemɐ sulaɾ
líquenes likɛnɨʃ
quase kwazɨ
piridina piɾidinɐ
declinação dɨklinɐsɐ̃w̃
ganho ɡɐɲu
horticultura ɔɾtikultuɾɐ
arterite ɐɾtɨɾitɨ
monocotiledónea ˌmɔnɔkutilɨdɔnjɐ
hebreu ɛbɾew
horticultor ɔɾtikultoɾ
dicotiledónea dikutilɨdɔnjɐ
levantino lɨvɐ̃tinu
emulsificante imulsifikɐ̃tɨ
enxerto ẽʃeɾtu
conífera kunifɨɾɐ
formatura fuɾmɐtuɾɐ
marma maɾmɐ
miopatia ˌmiɔpɐtiɐ
atelectasia ɐtɨlɨktɐziɐ
virtude viɾtudɨ
terramoto tɨʁɐmɔtu
adição ɐdisɐ̃w̃
polimeria pɔlimɨɾiɐ
aposta ɐpɔʃtɐ
bolota bulɔtɐ
poliuretano ˌpɔliuɾɨtɐnu
falência fɐlẽsjɐ
abutre ɐbutɾɨ
anilina ɐnilinɐ
polimorfo pɔlimɔɾfu
pecari pɨkɐɾi
primazia pɾimɐziɐ
adenomatose ɐdɨnomɐtɔzɨ
disfagia diʃfɐʒiɐ
afrodisia ɐfɾudiziɐ
estratagema (i)ʃtɾɐtɐʒemɐ
dentaduras dẽtɐduɾɐʃ
dentadura dẽtɐduɾɐ
androfobia ˌɐ̃dɾɔfubiɐ
chicho ʃiʃu
isopreno izupɾenu
ganhador ɡɐɲɐdoɾ
antiaderente ˌɐ̃tiɐdɨɾẽtɨ
opinião ɔpinjɐ̃w̃
antropocentrismo ɐ̃ˌtɾɔpɔsẽtɾiʒmu
crepúsculo kɾɨpuʃkulu
fitoquímica fitɔkimikɐ
fitoquímica fitɔkimikɐ
imperador ĩpɨɾɐdoɾ
bergamota bɛɾɡɐmɔtɐ
padrasto pɐdɾaʃtu
linfoma lĩfomɐ
torneio tuɾnɐju
torneio tuɾnɐju
madrasta mɐdɾaʃtɐ
passagem pɐsaʒɐ̃j̃
leninismo lɛniniʒmu
crómio kɾɔmju
leninista lɛniniʃtɐ
titânio titɐnju
escândio (i)ʃkɐ̃dju
bário baɾju
hólmio ɔlmju
telúrio tɨluɾju
túlio tulju
ósmio ɔʒmju
tálio talju
itérbio itɛɾbju
samário sɐmaɾju
promécio pɾumɛsju
európio ewɾɔpju
nobélio nubɛlju
praseodímio pɾɐzjudimju
cádmio kadmju
férmio fɛɾmju
háfnio afnju
tecnécio tɛknɛsju
érbio ɛɾbju
disprósio diʃpɾɔzju
cúrio kuɾju
tório tɔɾju
actínio ɐktinju
ródio ʁɔdju
mendelévio mẽdɨlɛvju
leninismo maɾksiʒmu lɛniniʒmu
mensuração mẽsuɾɐsɐ̃w̃
indivíduo ĩdividwu
monastério munɐʃtɛɾju
poliptoto puliptɔtu
copiloto kupilotu
chafariz ʃɐfɐɾiʃ
aquecimento ɐkɛsimẽtu
trombonista tɾõbuniʃtɐ
abraços ɐbɾasuʃ
cuecas kwɛkɐʃ
cuecas kwɛkɐʃ
preferência pɾɨfɨɾẽsjɐ
trevo tɾevu
mirtilo miɾtilu
renano ʁɨnɐnu
renano ʁɨnɐnu
caralhos kɐɾaʎuʃ
barbeiro bɐɾbɐjɾu
bilhar biʎaɾ
homens ɔmɐ̃j̃ʃ
águas aɡwɐʃ
quíchua kiʃwɐ
desambiguação dɨzɐ̃biɡwɐsɐ̃w̃
mulheres muʎɛɾɨʃ
cotovelos kutuvɛluʃ
adoração ɐduɾɐsɐ̃w̃
rapazes ʁɐpazɨʃ
aceitação ɐsɐjtɐsɐ̃w̃
tornozelo tuɾnuzelu
suricate suɾikatɨ
vida muʎɛɾ dɐ vidɐ
linguagens lĩɡwaʒɐ̃j̃ʃ
anglófona ɐ̃ɡlɔfunɐ
obrigada ɔbɾiɡadɐ
migalha miɡaʎɐ
agenesia ɐʒɨnɨziɐ
ansiedade ɐ̃sjɛdadɨ
anglófonos ɐ̃ɡlɔfunuʃ
botânica butɐnikɐ
botânica butɐnikɐ
tentações tẽtɐsõj̃ʃ
abordagem ɐbuɾdaʒɐ̃j̃
aceitações ɐsɐjtɐsõj̃ʃ
amobarbital ɐmubɐɾbital
pauis pɐujʃ
anglófono ɐ̃ɡlɔfunu
anglófonas ɐ̃ɡlɔfunɐʃ
vassoura vɐso(w)ɾɐ
antropólogo ɐ̃tɾupɔluɡu
sóis sɔjʃ
papéis pɐpɐjʃ
prepúcios pɾɨpusjuʃ
prepúcio pɾɨpusju
livros livɾuʃ
meia mɐjɐ
meia mɐjɐ
sermão sɨɾmɐ̃w̃
paul pɐul
chunga ʃũɡɐ
nanismo nɐniʒmu
repreensão ʁɨpɾiẽsɐ̃w̃
sermões sɨɾmõj̃ʃ
seduções sɨdusõj̃ʃ
introdução ĩtɾudusɐ̃w̃
introduções ĩtɾudusõj̃ʃ
sedução sɨdusɐ̃w̃
repreensões ʁɨpɾiẽsõj̃ʃ
entidades ẽtidadɨʃ
pães pɐ̃j̃ʃ
pães pɐ̃j̃ʃ
autovalor ˌawtɔvɐloɾ
discrição diʃkɾisɐ̃w̃
indiscrição ĩdiʃkɾisɐ̃w̃
rusga ʁuʒɡɐ
arménio ɐɾmɛnju
curiosidades kuɾjuzidadɨʃ
oleira ɔlɐjɾɐ
poliuria ˌpɔliuɾiɐ
heranças eɾɐ̃sɐʃ
lazer lɐzeɾ
oleiro ɔlɐjɾu
ribeira ʁibɐjɾɐ
indiscrições ĩdiʃkɾisõj̃ʃ
discrições diʃkɾisõj̃ʃ
nudez nudeʃ
anergia ɐnɨɾʒiɐ
botânicas butɐnikɐʃ
lições lisõj̃ʃ
botânicos butɐnikuʃ
botânico butɐniku
zoroastrismo zuɾwɐʃtɾiʒmu
piroga piɾɔɡɐ
colaboradora kulɐbuɾɐdoɾɐ
acalasia ɐkɐlɐziɐ
nazifascismo ˌnazifaʃsiʒmu
acatisia ɐkɐtiziɐ
alveolite alvjulitɨ
ambliopia ɐ̃bliupiɐ
estranhos (i)ʃtɾɐɲuʃ
estranha (i)ʃtɾɐɲɐ
tigela tiʒɛlɐ
espaçonave (i)ʃpɐsɔnavɨ
solidariedade sulidɐɾjɛdadɨ
leigo lɐjɡu
octaedro ɔktɐɛdɾu
estranhas (i)ʃtɾɐɲɐʃ
seixo sɐjʃu
anisocoria ɐnizukuɾiɐ
furadeira fuɾɐdɐjɾɐ
ecolalia ikulɐliɐ
velhas vɐ(j)ʎɐʃ
velhos vɛʎuʃ
velha vɛʎɐ
trajetória tɾɐʒɛtɔɾjɐ
caractere kɐɾɐktɛɾɨ
vagem vaʒɐ̃j̃
geladeira ʒɨlɐdɐjɾɐ
população pupulɐsɐ̃w̃
titio titiu
anticoagulante ˌɐ̃tikwɐɡulɐ̃tɨ
matadora mɐtɐdoɾɐ
prostituição pɾuʃtitujsɐ̃w̃
prostituições pɾuʃtitujsõj̃ʃ
carnívoro kɐɾnivuɾu
carnívoro kɐɾnivuɾu
olhos ɔʎuʃ
miragem miɾaʒɐ̃j̃
grogue ɡɾɔɡɨ
javalina ʒɐvɐlinɐ
javalina ʒɐvɐlinɐ
hímen imɛn
dificuldade difikuldadɨ
traqueia tɾɐkɐjɐ
configuração kõfiɡuɾɐsɐ̃w̃
malária mɐlaɾjɐ
meiose mɐjɔzɨ
estrépito (i)ʃtɾɛpitu
interpretação ĩtɨɾpɾɨtɐsɐ̃w̃
esforço (i)ʃfoɾsu
girassol ˌʒiɾɐsɔl
inércia inɛɾsjɐ
juventude ʒuvẽtudɨ
batuta bɐtutɐ
probabilidade pɾubɐbilidadɨ
lingote lĩɡɔtɨ
duplicado duplikadu
testemunho tɨʃtɨmuɲu
iglus iɡluʃ
comichão kumiʃɐ̃w̃
hipertexto ˌipɛɾtɐjʃtu
capacitância kɐpɐsitɐ̃sjɐ
explosão (i)ʃpluzɐ̃w̃
fertilização fɨɾtilizɐsɐ̃w̃
artefato ɐɾtɨfatu
fibromialgia fibɾumjalʒiɐ
superstição supɨɾʃtisɐ̃w̃
balanopostite bɐlɐnupuʃtitɨ
balanite bɐlɐnitɨ
mingau mĩɡaw
enxaqueca ẽʃɐkɛkɐ
resistência ʁɨziʃtẽsjɐ
algesia alʒɨziɐ
estática (i)ʃtatikɐ
conquistadora kõkiʃtɐdoɾɐ
infecção ĩfɛksɐ̃w̃
caniche kaniʃɨ
menstruação mẽʃtɾuɐsɐ̃w̃
matraca mɐtɾakɐ
culinária kulinaɾjɐ
relojoeiro ʁɨluʒwɐjɾu
guilhotina ɡiʎutinɐ
inflorescência ĩfluɾɨʃsẽsjɐ
parónimo pɐɾɔnimu
escrúpulo (i)ʃkɾupulu
Óscar ɔʃkaɾ
psicótico psikɔtiku
beterraba bɨtɨʁabɐ
brasileira bɾɐzilɐjɾɐ
infravermelho ˌĩfɾɐvɨɾmɐ(j)ʎu
entomologista ẽtumuluʒiʃtɐ
cubos kubuʃ
invasor ĩvazoɾ
camarote kɐmɐɾɔtɨ
cerebelo sɨɾɨbelu
criações kɾiɐsõj̃ʃ
masoquista mɐzukiʃtɐ
espanhola (i)ʃpɐɲɔlɐ
europeias ewɾupɐjɐʃ
hemácia ɛmasjɐ
anáfora ɐnafuɾɐ
circuito ˌkuɾtusiɾkujtu
reflexo ʁɨflɛksu
cistoscopia siʃtuʃkupiɐ
disgeusia diʒewziɐ
cateter kɐtɛtɛɾ
derivativo dɨɾivɐtivu
disforia diʃfuɾiɐ
aeronáutica ɐˌɛɾɔnawtikɐ
displasia diʃplɐziɐ
dispepsia diʃpɨpsiɐ
discinesia diʃsinɨziɐ
corola kuɾɔlɐ
estame (i)ʃtɐmɨ
calcedônia kalsɨdonjɐ
alabarda ɐlɐbaɾdɐ
estrutura (i)ʃtɾutuɾɐ
néctar nɛktaɾ
aligot ɐliɡo
humidade umidadɨ
estrelas (i)ʃtɾelɐʃ
troncos tɾõkuʃ
cadeiras kɐdɐjɾɐʃ
cardíaca kɐɾdiɐkɐ
corpos kɔɾpuʃ
competidora kõpɨtidoɾɐ
almofada almufadɐ
dourada do(w)ɾadɐ
escada (i)ʃkadɐ
roseta ʁuzetɐ
camisolas kɐmizɔlɐʃ
aeroportos ɐˌɛɾɔpɔɾtuʃ
carpinteiro kɐɾpĩtɐjɾu
carniceiro kɐɾnisɐjɾu
encefalopatia ẽˌsɛfɐlɔpɐtiɐ
noites nojtɨʃ
dentes dẽtɨʃ
empiema ẽpjemɐ
deuses dewzɨʃ
deformidade dɨfuɾmidadɨ
diversidade divɨɾsidadɨ
octógono ɔktɔɡunu
camisola kɐmizɔlɐ
omnívoro ɔmnivuɾu
politeísta ˌpɔlitɐiʃtɐ
grafito ɡɾɐfitu
monoteísta ˌmɔnɔtɐiʃtɐ
respirador ʁɨʃpiɾɐdoɾ
escorpiões (i)ʃkuɾpjõj̃ʃ
embigo ẽbiɡu
elasticidade ilɐʃtisidadɨ
gasosa ɡɐzɔzɐ
maneiras mɐnɐjɾɐʃ
episiotomia ipizjutumiɐ
entidade ẽtidadɨ
encaixe ẽkajʃɨ
encaixe ẽkajʃɨ
síntese sĩtɨzɨ
escuridade (i)ʃkuɾidadɨ
charro ʃaʁu
pequena pɨkenɐ
escuro (i)ʃkuɾu
escultor (i)ʃkultoɾ
alascana ɐlɐʃkɐnɐ
espontaneidade (i)ʃpõtɐnɐjdadɨ
faia fajɐ
alascano ɐlɐʃkɐnu
magnata mɐɡnatɐ
velocidade vɨlusidadɨ
esperantista (i)ʃpɨɾɐ̃tiʃtɐ
incerteza ĩsɨɾtezɐ
polipeptídeo ˌpɔlipɨptidju
brancos bɾɐ̃kuʃ
cegas sɛɡɐʃ
cega sɛɡɐ
isomorfismos ˌizɔmuɾfiʒmuʃ
coloide kulɔjdɨ
azuis ɐzujʃ
paratiroide pɐɾɐtiɾɔjdɨ
pluviómetro pluvjɔmɨtɾu
olivina ɔlivinɐ
delegada dɨlɨɡadɐ
calcita kalsitɐ
ventos vẽtuʃ
noite boɐ nojtɨ
solar vẽtu sulaɾ
autoridade awtuɾidadɨ
pleurite plewɾitɨ
heptágono ɛptaɡunu
mesosfera ˌmɛzɔʃfɛɾɐ
funcionamento fũsjunɐmẽtu
quilómetro kilɔmɨtɾu
excentricidade (i)ʃsẽtɾisidadɨ
boliche buliʃɨ
peridoto pɨɾidotu
textura tɐjʃtuɾɐ
presbiopia pɾɨʒbjupiɐ
termosfera ˌtɛɾmɔʃfɛɾɐ
clementina klɨmẽtinɐ
prognatismo pɾuɡinɐtiʒmu
tranquilizante tɾɐ̃kwilizɐ̃tɨ
cínico siniku
proximidade pɾɔsimidadɨ
presbiteriano pɾɨʒbitɨɾjɐnu
tropicalista tɾupikɐliʃtɐ
combustor kõbuʃtoɾ
espaldar (i)ʃpaldaɾ
tranquilizantes tɾɐ̃kwilizɐ̃tɨʃ
pirazina piɾɐzinɐ
antraquinona ɐ̃tɾɐkinonɐ
sintagma sĩtɐɡimɐ
hidroquinona ˌidɾukinonɐ
xileno ʃilenu
anetol ɐnɨtɔl
fenolftaleína fɨˌnɔlftɐlɐinɐ
hexano iksɐnu
hidróxido idɾɔksidu
polca polkɐ
purgante puɾɡɐ̃tɨ
purgativo puɾɡɐtivu
estireno (i)ʃtiɾenu
xisto ʃiʃtu
etileno itilenu
pirrol piʁɔl
fluído fluidu
octano ɔktɐnu
alótropo ɐlɔtɾupu
propileno pɾupilenu
acetoacetato ɐsɨtwɐsɨtatu
ónix ɔniks
azina ɐzinɐ
antifúngico ˌɐ̃tifũʒiku
parafina pɐɾɐfinɐ
hematita imɐtitɐ
uracilo uɾɐsilu
dextrano dɨʃtɾɐnu
creatina kɾiɐtinɐ
antitrombina ˌɐ̃titɾõbinɐ
biomolécula ˌbiɔmulɛkulɐ
glicoproteína ɡlikupɾutɐinɐ
violista vjuliʃtɐ
panela pɐnɛlɐ
antiofídico ˌɐ̃tiɔfidiku
acloridria ɐkluɾidɾiɐ
chamado ʃɐmadu
rapadura ʁɐpɐduɾɐ
aldolase aldulazɨ
actina ɐktinɐ
sulfato sulfatu
peptidoglicano pɨptiduɡlikɐnu
xilitol ʃilitɔl
americana ɐfɾɔɐmɨɾikɐnɐ
acetilsalicilato ɐsɨtilsɐlisilatu
baixa bajʃɐ
estabilidade (i)ʃtɐbilidadɨ
jarras ʒaʁɐʃ
jornais ʒuɾnajʃ
jarros ʒaʁuʃ
aceno ɐsenu
astrónomos ɐʃtɾɔnumuʃ
acetilcisteína ɐsɨtilsiʃtɐinɐ
baixo bajʃu
cátodo katudu
jamaicana ʒɐmajkɐnɐ
adipato ɐdipatu
adamantano ɐdɐmɐ̃tɐnu
complexo kõplɛksu
acrílico ɐkɾiliku
parestesia pɐɾɨʃtɨziɐ
xastre ʃaʃtɾɨ
americano ɐfɾɔɐmɨɾikɐnu
vómer vɔmɛɾ
laverca lɐvɛɾkɐ
republicana ʁɛpublikɐnɐ
princesas pɾĩsezɐʃ
acrilonitrilo ɐkɾilunitɾilu
marquesas mɐɾkezɐʃ
apófise ɐpɔfizɨ
esfenoide (i)ʃfɨnɔjdɨ
bigorna biɡɔɾnɐ
escápula (i)ʃkapulɐ
vértebra vɛɾtɨbɾɐ
costela kuʃtɛlɐ
hioide jɔjdɨ
úmero umɨɾu
esmeralda (i)ʒmɨɾaldɐ
etmoide ɛtmɔjdɨ
pombas põbɐʃ
cóccix kɔksiʃ
superior maksilaɾ supɨɾjoɾ
aliina ɐljinɐ
ioga jɔɡɐ
metacarpo ˌmɛtɐkaɾpu
metatarso ˌmɛtɐtaɾsu
mangas mɐ̃ɡɐʃ
mangas mɐ̃ɡɐʃ
alquino alkinu
mamona mɐmonɐ
amelogenina ɐmɨluʒɨninɐ
amantadina ɐmɐ̃tɐdinɐ
catecolamina kɐtɨkulɐminɐ
aminobenzoato ɐminubẽzwatu
pelve pɛlvɨ
atropina ɐtɾupinɐ
benzoico asidu bẽzojku
cúbito kubitu
kenaf kɨnaf
antraceno ɐ̃tɾɐsenu
anuleno ɐnulenu
alicina ɐlisinɐ
ameloblastina ɐmɨlublɐʃtinɐ
antígeno ɐ̃tiʒɨnu
verdade vɨɾdadɨ
bancada bɐ̃kadɐ
diurético diuɾɛtiku
antidiurético ˌɐ̃tidiuɾɛtiku
antitripsina ˌɐ̃titɾipsinɐ
caseína kɐzɐinɐ
marciana mɐɾsjɐnɐ
prostatite pɾuʃtɐtitɨ
histona iʃtonɐ
protrombina pɾutɾõbinɐ
queratina kɨɾɐtinɐ
rompimento ʁõpimẽtu
auriculares awɾikulaɾɨʃ
cicloide siklɔjdɨ
colágeno kulaʒɨnu
cronograma kɾunuɡɾɐmɐ
goiaba ɡojabɐ
tropomiosina tɾupumjuzinɐ
efeito ifɐjtu
oásis ɔaziʃ
intensidade ĩtẽsidadɨ
prefixo pɾɨfiksu
metafísica mɨtɐfizikɐ
metafísica mɨtɐfizikɐ
ressurreição ʁɨsuʁɐjsɐ̃w̃
celular mẽbɾɐnɐ sɨlulaɾ
telégrafo tɨlɛɡɾɐfu
promoção pɾumusɐ̃w̃
hipocrisia ˌipɔkɾiziɐ
ruibarbo ʁujbaɾbu
celular pɐɾedɨ sɨlulaɾ
protoestrela ˌpɾɔtɔ(i)ʃtɾelɐ
uranilo uɾɐnilu
travertino tɾɐvɨɾtinu
tenesmo tɨneʒmu
vasopressina vɐzupɾɨsinɐ
telómero tɨlɔmɨɾu
trombocitopenia tɾõbɔsitɔpɨniɐ
tilacino tilɐsinu
crinoide kɾinɔjdɨ
arconte ɐɾkõtɨ
trismo tɾiʒmu
escatologia (i)ʃkɐtuluʒiɐ
escatologia (i)ʃkɐtuluʒiɐ
antípoda ɐ̃tipudɐ
vacúolo vɐkuulu
anamorfismo ɐnɐmuɾfiʒmu
citosol situzɔl
nucleótido nukliɔtidu
microtúbulo ˌmikɾɔtubulu
botões butõj̃ʃ
nucleicos asiduʒ nuklɐjkuʃ
xantoma ʃɐ̃tomɐ
aritmético ɐɾitmɛtiku
nucleico asidu nuklɐjku
vesícula vɨzikulɐ
hialoplasma iɐlɔplaʒmɐ
saponina sɐpuninɐ
anonymizer ɐnunimajzɛɾ
tamarindo tɐmɐɾĩdu
citoesqueleto sitwɨʃkɨletu
regulador ʁɨɡulɐdoɾ
etanal itɐnal
hipotálamo ˌipɔtalɐmu
prolactina pɾulɐktinɐ
pragmática pɾɐɡimatikɐ
abetalipoproteinemia ɐbɨtɐlipupɾutɐjnɨmiɐ
poliamina ˌpɔliɐminɐ
pentecostalismo pẽtɨkuʃtɐliʒmu
satanismo sɐtɐniʒmu
pseudoefedrina ˌpsewdɔɛfɨdɾinɐ
pícrico asidu pikɾiku
paraboloide pɐɾɐbulɔjdɨ
epicicloide episiklɔjdɨ
automorfismo ˌawtɔmuɾfiʒmu
fertilizante fɨɾtilizɐ̃tɨ
rotacional ʁutɐsjunal
satanista sɐtɐniʃtɐ
laplaciano laplasjɐnu
penicilina pɨnisilinɐ
minoico minɔjku
decágono dɨkaɡunu
hipotrocoide ˌipɔtɾukɔjdɨ
transportador tɾɐ̃ʃpuɾtɐdoɾ
comunidade kumunidadɨ
eneágono ɛnjaɡunu
cuboide kubɔjdɨ
expresso (i)ʃpɾɛsu
coador kwɐdoɾ
blogue blɔɡɨ
cupulate kupulatɨ
divulgação divulɡɐsɐ̃w̃
citocinese ˌsitɔsinɛzɨ
endocitose ˌẽdɔsitɔzɨ
pentagrama pẽtɐɡɾɐmɐ
opioide ɔpjɔjdɨ
saias sajɐʃ
saída sɐidɐ
saíra sɐiɾɐ
oxálico asidu ɔksaliku
hemoglobina imuɡlubinɐ
estouro (i)ʃto(w)ɾu
clorofila kluɾufilɐ
separatismo sɨpɐɾɐtiʒmu
cadeado kɐdjadu
xilografia ʃilɔɡɾɐfiɐ
jurada ʒuɾadɐ
fagotista fɐɡutiʃtɐ
sumido sumidu
patrocinador pɐtɾusinɐdoɾ
tomateira tumɐtɐjɾɐ
profetisa pɾufɨtizɐ
profetisas pɾufɨtizɐʃ
cabaceira kɐbɐsɐjɾɐ
limeiras limɐjɾɐʃ
nespereira nɨʃpɨɾɐjɾɐ
bagos baɡuʃ
bagos baɡuʃ
limoeiros limwɐjɾuʃ
vocábulo vukabulu
músicas muzikɐʃ
pereira pɨɾɐjɾɐ
pedras pɛdɾɐʃ
tempestade tẽpɨʃtadɨ
casota kɐzɔtɐ
triga tɾiɡɐ
ril ʁil
ril ʁil
enfarte ẽfaɾtɨ
soberanas subɨɾɐnɐʃ
soberanos subɨɾɐnuʃ
mordedura muɾdɨduɾɐ
sífilis sifiliʃ
manicura mɐnikuɾɐ
terrina tɨʁinɐ
tecnicismo tɛknisiʒmu
desembocadura dɨzẽbukɐduɾɐ
soberana subɨɾɐnɐ
comprimido kõpɾimidu
triunvirato tɾiw̃viɾatu
diabético diɐbɛtiku
óbito ɔbitu
meles mɛlɨʃ
leituga lɐjtuɡɐ
cordeiro kuɾdɐjɾu
quaresma kwɐɾɛʒmɐ
hóspedes ɔʃpɨdɨʃ
bestas beʃtɐʃ
fogos fɔɡuʃ
escolas (i)ʃkɔlɐʃ
pás paʃ
hóspede ɔʃpɨdɨ
cabelos kɐbeluʃ
bioma biomɐ
turcomano tuɾkumɐnu
excomungado ɐjʃkumũɡadu
frecha fɾɛʃɐ
aeroplanos ɐˌɛɾɔplɐnuʃ
arquipélago ɐɾkipɛlɐɡu
timorense timuɾẽsɨ
filé filɛ
tuvaluano tuvɐlwɐnu
vanuatuense vɐnwɐtwẽsɨ
cetologia sɨtuluʒiɐ
xenartro ʃɨnaɾtɾu
poetisa pwɛtizɐ
sepse sɛpsɨ
nauruano nawɾwɐnu
nauruano nawɾwɐnu
mauriciano mawɾisjɐnu
granadino ɡɾɐnɐdinu
etíope itiupɨ
globina ɡlubinɐ
comorense kumuɾẽsɨ
comorense kumuɾẽsɨ
morfo mɔɾfu
antiguano ɐ̃tiɡwɐnu
chadiano ʃadjɐnu
arqueólogo ɐɾkjɔluɡu
lesbianismo lɨʒbjɐniʒmu
desacato dɨzɐkatu
ribaldo ʁibaldu
bicos bikuʃ
boceta busetɐ
tratamento tɾɐtɐmẽtu
cogombro kuɡõbɾu
túmulo tumulu
granadina ɡɾɐnɐdinɐ
calamidades kɐlɐmidadɨʃ
calamidades kɐlɐmidadɨʃ
estampido (i)ʃtɐ̃pidu
recalque ʁɨkalkɨ
cacografia kɐkɔɡɾɐfiɐ
apologética ɐpuluʒɛtikɐ
zoopatologia zwɔpɐtuluʒiɐ
familha fɐmiʎɐ
retentor ʁɨtẽtoɾ
histopatologia iʃtupɐtuluʒiɐ
detonadores dɨtunɐdoɾɨʃ
zincografia ˌzĩkɔɡɾɐfiɐ
zigoma ziɡomɐ
veleiro vɨlɐjɾu
crannog kɾɐnɔɡi
vibrador vibɾɐdoɾ
