abada aβ̞að̞ɐ
tempero tempeɾʊ
suba suβɐ
trincha tɾint͡ʃɐ
trama tɾamɐ
turba tuɾβɐ
turba tuɾβɐ
covo kɔβʊ
valse balsɪ
suma s̺umɐ
zafado θafað̞ʊ
melena melenɐ
melena melenɐ
foca fɔkɐ
foca fɔkɐ
crocodilo kɾokoð̞ilʊ
libélula liβ̞ɛlulɐ
tartaruga t̪aɾt̪aɾuɣ̞ɐ
aleta alet̪ɐ
camelo kɑmɛlʊ
andel andɛl
crisma kɾismɐ
crisma kɾismɐ
creta kɾet̪ɐ
cerra θerɐ
oliveira oliβejɾɐ
cacto kɑkt̪ʊ
amarelo amaɾɛlʊ
orquídea ɔɾkið̞eɐ
caqui kɑki
coller koɟeɾ
mirto miɾtʊ
franco fɾɑŋkʊ
calzón kɑlθoŋ
camisa kɑmis̺ɐ
crosta kɾos̺t̪ɐ
camarón kɑmaɾoŋ
infante iɱfan̪t̪ɪ
infante iɱfan̪t̪ɪ
rubo ruβ̞ʊ
alcachofa ɑɫkɑt͡ʃofɐ
inquilino iŋkilinʊ
damasco d̪amas̺kʊ
galo ɡalʊ
presenza pɾes̺ɛn̪θɐ
dinosauro d̪inos̺ɑwɾʊ
aperta apɛɾtɐ
rula rulɐ
ansia ansi̯ɐ
semente s̺emẽn̪t̪ɪ
portugués poɾtuɣes
portugués poɾtuɣes
verdura beɾð̞uɾɐ
cartón kɑɾt̪oŋ
monumento monumɛntʊ
precedente pɾeθeð̞en̪t̪ɪ
pimento pimẽn̪t̪ʊ
artista aɾt̪is̺t̪ɐ
socialismo s̺ɔθjaliz̺mʊ
cerimonia θeɾimɔ̃njɐ
encantador eŋkɑntaðoɾ
avenida aβ̞enið̞ɐ
mostra mɔstɾɐ
fonda fondɐ
defunto d̪efun̪t̪ʊ
magro mɑɣ̞ɾʊ
abade aβ̞að̞ɪ
abade aβ̞að̞ɪ
tenente t̪enẽn̪t̪ɪ
eufemismo ewfemiz̺mʊ
olmo olmʊ
fascismo fas̺θiz̺mʊ
comunista komũnis̺t̪ɐ
paraíso paɾais̺ʊ
buque bukɪ
revolución reβ̞oluθjoŋ
avestruz aβestɾuθ
pantera pan̪t̪ɛɾɐ
vinagre binɑɣ̞ɾɪ
lardo laɾðʊ
prisma pɾiz̺mɐ
tronco t̪ɾoŋkʊ
arpista aɾpis̺t̪ɐ
lampo lampʊ
tiburón t̪iβ̞uɾoŋ
gaiola ɡɑjɔlɐ
gaiola ɡɑjɔlɐ
formiga foɾmiɣ̞ɐ
afta aft̪ɐ
indiano indi̯anʊ
mao mɑʊ
chao t͡ʃaʊ̯
veleno belenʊ
cai kɑj
pronome pɾonõmɪ
nai na̠j
tripa t̪ɾipɐ
escocés es̺kɔθes̺
escocés es̺kɔθes̺
holandés ɔlan̪d̪ɛs̺
holandés ɔlan̪d̪ɛs̺
ración raθjoŋ
túnel t̪unɛɫ
abadexo aβ̞að̞eʃʊ
paiolo pajɔlʊ
papas papas̺
anfibio aɱfiβ̞jʊ
glande ɡlan̪d̪ɪ
legua lɛɣ̞wɐ
quella kɛɟɐ
bochinche bot͡ʃint͡ʃɪ
vieira biejɾɐ
baza baθɐ
capitán kɑpit̪ɑŋ
visón bis̺oŋ
lucerna luθɛɾnɐ
alfaiate alfai̯at̪ɪ
catedral kɑt̪eð̞ɾɑɫ
canción kɑn̪θjoŋ
tecnologia t̪ɛknoloʃiɐ
dragón d̪ɾɑɣ̞oŋ
papagaio papaɣajʊ
situación s̺it̪waθjoŋ
aderezo að̞eɾeθʊ
tosta tɔstɐ
tosta tɔstɐ
ateo at̪eʊ
pedazo peð̞aθʊ
ingrediente iŋɡɾeð̞jɛn̪t̪ɪ
tutela t̪ut̪ɛlɐ
follato foʎatʊ
promesa pɾomɛs̺ɐ
chicha t͡ʃit͡ʃɐ
licenza liθɛn̪θɐ
esporta espɔɾtɐ
merenda meɾen̪d̪ɐ
claustro klawstɾʊ
tutelo tutɛlʊ
compañía kompaɲiɐ
maldición maldiθion
paga paɣɐ
roga rɔɣɐ
manco mɑ̃ŋkʊ
abacá aβ̞ɑkɑ
vagante bɑɣ̞ɑn̪t̪ɪ
anzol anθɔl
lorda lɔɾðɐ
médico mɛð̞ikʊ
terza teɾθɐ
galleta ɡaʎetɐ
galleta ɡaʎetɐ
vicepresidente ˌbiθepɾes̺ið̞en̪t̪ɪ
nacida naθið̞ɐ
paciente paθjɛn̪t̪ɪ
epidemia ɛpiðɛmi̯ɐ
ábrego aβ̞ɾeɣ̞ʊ
lisura lis̺uɾɐ
canalla kɑnaʎɐ
cabo kɑβ̞ʊ
cabo kɑβ̞ʊ
membro mɛ̃mbɾʊ
traballo tɾaβaʎʊ
croque kɾɔkɪ
croque kɾɔkɪ
croque kɾɔkɪ
tucano t̪ukɑnʊ
golfe ɡɔlfɪ
bispo bispʊ
frecuencia fɾekwɛn̪θjɐ
escenario esθenaɾjʊ
espía espiɐ
recipiente reθipjɛn̪t̪ɪ
concho konʲt͡ʃʊ
alleo aʎeʊ
rostro ros̺t̪ɾʊ
orgullo oɾɣ̞uɟʊ
condado kondaðʊ
medalla með̞a̠ɟɐ
pola polʊ
mosto mos̺t̪ʊ
musa mus̺ɐ
pipo pipʊ
suceso s̺uθes̺ʊ
mili mili
pernil pɛɾniɫ
reputación reput̪aθjoŋ
senador s̺enað̞oɾ
subtítulo s̺uβ̞t̪it̪ulʊ
perfección peɾfekθjoŋ
elección elekθjoŋ
conde kondɪ
lareira laɾejɾɐ
espello espeʎʊ
sensación s̺ens̺aθjoŋ
versión beɾs̺joŋ
felicitación feliθit̪aθjoŋ
heroe ɛɾɔɪ
fuso fusʊ
cuña kuɲɐ
discurso d̪is̺kuɾs̺ʊ
almirante ɑlmiɾan̪t̪ɪ
faísca faiskɐ
verruga beruɣɐ
poma pomɐ
renda rendɐ
renda rendɐ
renda rendɐ
óso ɔs̺ʊ
bazo baθʊ
queixo kejʃʊ
queixo kejʃʊ
cousa kows̺ɐ
unha uŋɐ
cabelo kɑβ̞ɛlʊ
arna aɾnɐ
páxina pa̠ʃinɐ
pigmento piɣ̞mẽn̪t̪ʊ
portada poɾtaðɐ
aguacate ɑɣ̞wɑkɑt̪ɪ
praia pɾa̠jɐ
dó dɔ
dó dɔ
aventura aβentuɾɐ
solta sɔltɐ
solta soltɐ
solto sɔltʊ
método mɛt̪oð̞ʊ
riqueza rikeθɐ
guitarra ɡit̪arɐ
guitarra ɡit̪arɐ
arancel aɾan̪θɛɫ
apicultor apikul̪t̪oɾ
asento asɛntʊ
economista ekɔnõmis̺t̪ɐ
lenda lendɐ
paciencia paθjɛnθjɐ
anarquía anaɾkiɐ
partícula paɾt̪ikulɐ
astronomía as̺t̪ɾonõmiɐ
arroz aroθ
lontra lon̪t̪ɾɐ
clínica klinikɐ
testamento t̪es̺t̪amẽn̪t̪ʊ
torrente t̪orɛn̪t̪ɪ
bilingüe biliŋɡwɪ
andamio andamjʊ
colar kolaɾ
estro es̺t̪ɾʊ
pandeiro pan̪d̪ejɾʊ
estanco estaŋkʊ
costado kostaðʊ
bóla bɔlɐ
comunicación komũnikɑθjoŋ
estatua es̺t̪at̪wɐ
exposición eks̺pos̺iθjoŋ
vila bilɐ
gaio ɡɑjʊ
gaio ɡɑjʊ
aio ajʊ
formación foɾmaθjoŋ
desintegración d̪es̺in̪t̪ɛɣ̞ɾaθjoŋ
pión pioŋ
pión pioŋ
humillación umiɟaθjoŋ
ambición ambiθjoŋ
ambulancia ambulan̪θjɐ
ateísmo at̪eiz̺mʊ
ecuación ɛkwaθjoŋ
lobato loβ̞at̪ʊ
documentación d̪okumẽn̪t̪aθjoŋ
instante instantɪ
proporción pɾopoɾθjoŋ
distribución d̪is̺t̪ɾiβ̞uθjoŋ
denominación d̪enɔ̃minaθjoŋ
expedición eks̺peð̞iθjoŋ
alimentación alimẽn̪t̪aθjoŋ
fillo fiɟʊ
anatomía anat̪omiɐ
hormona ɔɾmõnɐ
administración ad̪mĩnis̺t̪ɾaθjoŋ
soberanía s̺oβ̞eɾaniɐ
convicción kombikθjoŋ
evacuación ɛβ̞ɑkwaθjoŋ
filosofía filos̺ofiɐ
dominación d̪ɔmĩnaθjoŋ
ficción fikθjoŋ
aceptación aθept̪aθjoŋ
fita fit̪ɐ
independencia in̪d̪epen̪d̪ɛn̪θjɐ
filósofo filɔs̺ofʊ
destacamento d̪es̺t̪ɑkɑmẽn̪t̪ʊ
resignación res̺iŋnaθjoŋ
reparación repaɾaθjoŋ
pirámide piɾamið̞ɪ
mecanismo mekɑniz̺mʊ
presentación pɾes̺en̪t̪aθjoŋ
eliminación ɛlimĩnaθjoŋ
circulación θiɾkulaθjoŋ
emisión emis̺joŋ
avó aβ̞o
escuadra es̺kwað̞ɾɐ
percepción peɾθɛpθjoŋ
descolonización d̪es̺kolɔniθaθjoŋ
interpretación in̪t̪eɾpɾet̪aθjoŋ
porca pɔɾkɐ
porca pɔɾkɐ
mollo mɔʎʊ
mollo moʎʊ
pé pɛ
bárbaro baɾβɐɾʊ
modernización moð̞ɛɾniθaθjoŋ
transparencia t̪ɾans̺paɾen̪θjɐ
evolución ɛβ̞oluθjoŋ
liberalización liβ̞ɛɾaliθaθjoŋ
inclinación iŋklinaθjoŋ
aprendiz apɾen̪d̪iθ
foco fɔkʊ
pavor paβoɾ
chisme t͡ʃiz̺mɪ
reno renʊ
gaita ɡai̯tɐ
oráculo ɔɾɑkulʊ
patriotismo pat̪ɾjɔt̪iz̺mʊ
soberano s̺oβ̞eɾanʊ
escolar eskolaɾ
aniversario aniβ̞eɾs̺aɾjʊ
bicho bit͡ʃʊ
alameda alameð̞ɐ
extracción eʃt̪ɾɑkθjoŋ
intervención in̪t̪eɾβ̞en̪θjoŋ
articulación aɾt̪ikulaθjoŋ
batería bat̪eɾiɐ
atado ataðʊ
arquitecto aɾkit̪ɛkt̪ʊ
ausencia ɑws̺ɛn̪θjɐ
airoa ajɾɔɐ
manicomio mänikɔmjʊ
mercé meɾθe
onta ontɐ
ovella oβeʎɐ
pedra pɛð̞ɾɐ
persecución peɾs̺ɛkuθjoŋ
rancio ran̪θjʊ
condesa kondesɐ
gordura ɡoɾðuɾɐ
investigador imbes̺t̪iɣ̞ɑð̞oɾ
pisco pis̺kʊ
barreira barejɾɐ
barreira barejɾɐ
outono owt̪onʊ
vontade bontaðɪ
afán afɑŋ
idade ið̞að̞ɪ
natureza nat̪uɾeθɐ
leña leɲɐ
tintura tintuɾɐ
oportunidade ɔpoɾtuniðaðɪ
arábigo aɾaβiɣʊ
machado mat͡ʃað̞ʊ
palmeira pɑlmejɾɐ
tribo t̪ɾiβ̞ʊ
erupción eɾupθjoŋ
capitalismo kɑpit̪aliz̺mʊ
bengala beŋɡɑlɐ
lombo lombʊ
acepción aθɛpθjoŋ
silabario s̺ilaβaɾjʊ
lirio liɾjʊ
lirio liɾjʊ
lirio liɾjʊ
lirio liɾjʊ
porción poɾθjoŋ
motivación mot̪iβ̞aθjoŋ
abecé aβeθɛ
cítara θit̪aɾɐ
peperete pɪpeɾetɪ
resina resinɐ
fundación fun̪d̪aθjoŋ
fracción fɾɑkθjoŋ
exemplo eʃemplʊ
identidade ið̞ɛn̪t̪ið̞að̞ɪ
seca sekɐ
arcano aɾkɑnʊ
blasfemia blas̺fɛmjɐ
bisonte bis̺on̪t̪ɪ
asado asaðʊ
asado asaðʊ
galaxia ɡɑlɑks̺jɐ
xardín ʃaɾð̞iŋ
abreviación aβ̞ɾɛβ̞jaθjoŋ
inflación iɱflaθjoŋ
galería ɡɑleɾiɐ
cobertura koβeɾtuɾɐ
batallón bat̪aɟoŋ
audición ɑwð̞iθjoŋ
champaña t͡ʃampaɲɐ
observación ɔbs̺ɛɾβ̞aθjoŋ
botín botiŋ
duque d̪ukɪ
soneto s̺onet̪ʊ
conspiración kons̺piɾaθjoŋ
sisto sistʊ
armadura aɾmaðuɾɐ
estrela es̺t̪ɾelɐ
rectángulo rɛkt̪ɑŋɡulʊ
cuadrilátero kwað̞ɾilat̪eɾʊ
bosta bɔs̺t̪ɐ
dodecaedro d̪oð̞ekɑɛð̞ɾʊ
caneta kɑnetɐ
coucou kowkow
martelo maɾtelʊ
raio rajʊ
postulante pos̺t̪ulan̪t̪ɪ
espírito es̺piɾit̪ʊ
grego ɡɾeɣʊ
grego ɡɾeɣʊ
termo t̪ɛɾmʊ
sociedade s̺ɔθjɛð̞að̞ɪ
ortiga oɾt̪iɣ̞ɐ
caño kɑɲʊ
viúva biuβɐ
escultura es̺kul̪t̪uɾɐ
embaixada embajʃaðɐ
autismo ɑwt̪iz̺mʊ
rezo rɛθʊ
oración ɔɾaθjoŋ
migrante miɣ̞ɾan̪t̪ɪ
vídeo bið̞eʊ
estandarte es̺t̪an̪d̪aɾt̪ɪ
abasto aβ̞as̺t̪ʊ
imaxe ima̠ʃɪ
chicote t͡ʃikɔt̪ɪ
doutor d̪owt̪oɾ
medo með̞ʊ
liberación liβ̞ɛɾaθjoŋ
tapete tapetɪ
duquesa d̪ukes̺ɐ
colonización kolɔniθaθjoŋ
dromedario dɾomeðaɾjʊ
salmón s̺ɑlmõŋ
raba raβɐ
fraqueza fɾakeθɐ
antigo an̪t̪iɣ̞ʊ
ombro ombɾʊ
turbina t̪uɾβ̞inɐ
buceta buθet̪ɐ
buceta buθet̪ɐ
esquema es̺kɛmɐ
imitación imit̪aθjoŋ
dracma d̪ɾɑkmɐ
liberdade liβ̞eɾð̞að̞ɪ
inspiración ins̺piɾaθjoŋ
pornografía poɾnoɣ̞ɾafiɐ
pesadelo pes̺að̞ɛlʊ
birta biɾtɐ
educação eð̞ukɑθoŋ
informação iɱfoɾmaθoŋ
radicalismo rað̞ikɑliz̺mʊ
segredo seɣɾeðʊ
esponxa es̺ponʲʃɐ
patriarca pat̪ɾjaɾkɐ
veso besʊ
parva paɾβɐ
segmento s̺eɣ̞mẽn̪t̪ʊ
peludo peluð̞ʊ
cebra θeβɾɐ
cebra θeβɾɐ
desaparición d̪es̺apaɾiθjoŋ
parroquia parɔkjɐ
ferramenta fɛramɛntɐ
ferramenta fɛramɛntɐ
alcachofra ɑɫkɑt͡ʃofɾɐ
garza ɡaɾθɐ
maneira manei̯ɾɐ
salvación s̺ɑlβ̞aθjoŋ
engrudo eŋɡɾuðʊ
cebola θeβola̝
saña s̺aɲɐ
telepatía telepatia
ablación aβ̞laθjoŋ
abdicación aβ̞ð̞ikɑθjoŋ
alquimista ɑɫkimis̺t̪ɐ
nobre noβ̞ɾɪ
aberración aβ̞eraθjoŋ
ética ɛt̪ikɐ
ablución aβ̞luθjoŋ
abnegación aβ̞neɣ̞ɑθjoŋ
abano aβ̞anʊ
epíteto ɛpit̪et̪ʊ
acedía aθeðiɐ
boletín bolet̪iŋ
óxido ɔks̺ið̞ʊ
adicción að̞ikθjoŋ
interferencia in̪t̪eɾfeɾɛn̪θjɐ
escritura es̺kɾit̪uɾɐ
adeus aðeʊ̯s
comadre komaðɾɪ
cáliz kɑliθ
cáliz kɑliθ
selección s̺elɛkθjoŋ
namorado nãmoɾað̞ʊ
despensa despensɐ
ciprés θipɾɛs̺
berberecho beɾβeɾet͡ʃʊ
corrección korɛkθjoŋ
devoción deβoθjoŋ
funcionario fun̪θjonaɾjʊ
músico musikʊ
chispa t͡ʃispɐ
cardeal kɑɾðeal
birmano biɾmãnʊ
birmano biɾmãnʊ
voleibol bolejβ̞ɔɫ
estoque estɔkɪ
pitón pit̪oŋ
bandeira ban̪d̪ejɾɐ
casamento kɑsamentʊ
capitalista kɑpit̪alis̺t̪ɐ
termómetro t̪ɛɾmɔ̃mɛt̪ɾʊ
secreción s̺ekɾɛθjoŋ
ligamento liɣ̞ɑmẽn̪t̪ʊ
arquitectura aɾkit̪ɛkt̪uɾɐ
parias paɾjas̺
aparecido apaɾeθiðʊ
horizonte ɔɾiθon̪t̪ɪ
lúa luɐ
pelame pelamɪ
xícara ʃikɑɾɐ
ralo ralʊ
ralo ralʊ
bicha bit͡ʃɐ
virote biɾote
lofa lɔfɐ
cuño kuɲʊ
coliflor kɔlifloɾ
cacatúa kɑkɑt̪uɐ
arpón aɾpoŋ
atún at̪uŋ
cisne θiz̺nɪ
beleza beleθɐ
mapache mapa̠t͡ʃɪ
sogra sɔɣɾɐ
roxo roʃʊ
púrpura puɾpuɾɐ
sese sɛsɪ
cardume kɑɾð̞umɪ
vidro biðɾʊ
mosteiro mos̺t̪ejɾʊ
monstro monstɾʊ
doente doentɪ
piada piað̞ɐ
felicidade feliθiðaðe̝
repouso repowsʊ
exército ɛʃɛɾθit̪ʊ
lasca laskɐ
parteira paɾt̪ejɾɐ
calvario kɑlβ̞aɾjʊ
monxe mõnʲʃɪ
congrua kɔŋɡɾwɐ
milagre milɑɣ̞ɾɪ
comentador komẽn̪t̪að̞oɾ
escravo es̺kɾaβ̞ʊ
cimento θimɛntʊ
emenda emɛ̃ndɐ
novas nɔβɐs
metade metaðɪ
tega t̪ɛɣ̞ɐ
fatelo fatɛlʊ
amígdala amiɣ̞ð̞alɐ
contorna kontoɾnɐ
aversión aβ̞eɾs̺joŋ
compulsión kompuls̺joŋ
trapo t̪ɾapʊ
rolla roʎɐ
proposición pɾopos̺iθjoŋ
himno imnʊ
carreta kɑret̪ɐ
lebre lɛβ̞ɾɪ
braga bɾɑɣ̞ɐ
balanza balan̪θɐ
popa popɐ
bofetada bofetaðɐ
erosión ɛɾɔs̺joŋ
azafate aθafatɪ
alucinación aluθinaθjoŋ
tacón t̪ɑkoŋ
touro tou̯ɾʊ
conmoción koŋmoθjoŋ
calzada kɑlθaðɐ
composición kompos̺iθjoŋ
radiografía rað̞joɣ̞ɾafiɐ
camposanto ˌkɑmpos̺an̪t̪ʊ
musgo musɣʊ
musgo musɣʊ
charco t͡ʃaɾkʊ
racha ra̠t͡ʃɐ
fabricante faβ̞ɾikɑn̪t̪ɪ
revolta reβ̞ɔl̪t̪ɐ
libretista liβ̞ɾet̪is̺t̪ɐ
obxecto oβʃɛtʊ
arco da vella aɾkʊ ð̞a β̞ɛɟɐ
arxila aɾʃilɐ
venres bɛnres̺
xoves ʃɔβ̞es̺
rebanda reβ̞an̪d̪ɐ
aceiro aθejɾʊ
mércores mɛɾkoɾes̺
cempés θɛmpɛs
cangrexo kɑŋɡɾeʃʊ
picapeixe pikapejʃɪ
píntega pintɪɣɐ
laranxa laɾanʲʃɐ
sapoconcho s̺apokonʲt͡ʃʊ
avelaíña aβelaiɲɐ
xénero ʃɛneɾʊ
samesuga s̺ames̺uɣ̞ɐ
parrulo parulʊ
toniña toniɲɐ
candorca kɑn̪d̪ɔɾkɐ
avespa aβespɐ
debuxo d̪eβ̞uʃʊ
saltón saltoŋ
coello koeɟʊ
cuncha kunʲt͡ʃɐ
teixugo tei̯ʃuɣʊ
xibón ʃiβ̞oŋ
xibón ʃiβ̞oŋ
cabalo kɑβ̞alʊ
mármore maɾmʊɾɪ
esquío ɪskiʊ̯
camaleón kɑmaleoŋ
traza tɾaθa
bufanda bufan̪d̪ɐ
vermello beɾmeɟʊ
melro mɛlrʊ
canario kɑnaɾjʊ
canario kɑnaɾjʊ
grilo ɡɾilʊ
ciano θjanʊ
curuxa kuɾuʃɐ
balea baleɐ
balea baleɐ
furón fuɾoŋ
miñoca mĩɲɔkɐ
garaxe ɡɐɾaʃɪ
cuco kukʊ
xabón ʃaβ̞oŋ
lesma lez̺mɐ
batán bat̪ɑŋ
exacerbación ɛks̺aθeɾβ̞aθjoŋ
proteína pɾot̪ɛinɐ
suxeito s̺uʃejt̪ʊ
tolo t̪olʊ
vibración biβ̞ɾaθjoŋ
xarxa ʃaɾʃɐ
albergue ɑlβ̞ɛɾɣ̞ɪ
praza pɾaθɐ
farro farʊ
farro farʊ
macizo maθiθʊ
fixo fiʃʊ
fratricidio fɾat̪ɾiθið̞jʊ
guerra civil ɡɛrɐ θiβ̞iɫ
fratricida fɾat̪ɾiθið̞ɐ
escritora es̺kɾit̪oɾɐ
carnicería kɑɾniθeɾiɐ
simulacro s̺imulɑkɾʊ
brinca bɾiŋkɐ
torcida toɾθiðɐ
goberno ɡoβ̞ɛɾnʊ
brinco bɾiŋkʊ
parro parʊ
bica bikɐ
bico bikʊ
xunta ʃun̪t̪ɐ
seña s̺eɲɐ
follado foʎaðʊ
viaxe bja̠ʃɪ
urda uɾðɐ
xogo ʃɔɣ̞ʊ
tunda tunda
custas kustɐs
custa kustɐ
esquezo eskɛθʊ
puxa puʃɐ
pazo paθʊ
mamada mãmað̞ɐ
esquía eskiɐ
fío fiʊ
atavío at̪aβ̞iʊ
porfía poɾfiɐ
cazo kɑθʊ
penetración penet̪ɾaθjoŋ
nádega nað̞eɣ̞ɐ
marisco maɾis̺kʊ
fin de semana findesemana
mamaie mamajɪ
perdición peɾð̞iθjoŋ
comarca komaɾkɐ
albergaría alβɛɾɣaɾiɐ
regaña reɣ̞ɑɲɐ
parranda parandɐ
astucia astuθjɐ
farra farɐ
almanaque ɑlmãnɑkɪ
cercado θeɾkaðʊ
tranca t̪ɾɑŋkɐ
cráter kɾat̪eɾ
empeña empeɲɐ
guinda ɡindɐ
contracción kon̪t̪ɾɑkθjoŋ
modificación mɔð̞ifikɑθjoŋ
mandolina mãn̪d̪olinɐ
demócrata d̪emɔkɾat̪ɐ
cantón kɑn̪t̪oŋ
competición kompet̪iθjoŋ
sucesor suθesoɾ
botánica bot̪anikɐ
xoana ʃʊ̯anɐ
subvención s̺uβ̞β̞en̪θjoŋ
ungüento uŋɡwɛntʊ
malestar males̺t̪aɾ
acha a̠t͡ʃɐ
perversión peɾβ̞eɾs̺joŋ
emirato ɛmiɾat̪ʊ
agoiro aɣojɾo̝
empregado empɾeɣ̞ɑð̞ʊ
dádiva d̪að̞iβ̞ɐ
tesouro t̪es̺owɾʊ
troco tɾɔkʊ
foguete foɣetɪ
agraz aɣɾaθ
murta muɾtɐ
enderezo endeɾeθʊ
gripo ɡɾipʊ
redada reðaðɐ
cagada kaɣaðɐ
infanticidio iɱfan̪t̪iθið̞jʊ
bruño bɾuɲʊ
chícharo t͡ʃit͡ʃɐɾʊ
limoeiro limoejɾʊ
efe ɛfɪ
zapatos θɐpatʊs
metanol met̪anɔɫ
toupeira towpejɾɐ
toupeira towpejɾɐ
lisca liskɐ
roubo rowβʊ
proba pɾɔβɐ
narración naraθjoŋ
distorsión d̪is̺t̪oɾs̺joŋ
boneca bonɛkɐ
pícaro pikɑɾʊ
parvo paɾβ̞ʊ
expectación eks̺pɛkt̪aθjoŋ
entraña entɾaɲɐ
especia espeθjɐ
ámbar ambaɾ
barullo baɾuʎʊ
cariz kɑɾiθ
activista ɑkt̪iβ̞is̺t̪ɐ
moderación moð̞eɾaθjoŋ
crina kɾinɐ
reconciliación rekon̪θiljaθjoŋ
rectificación rɛkt̪ifikɑθjoŋ
berro bɛrʊ
berro bɛrʊ
represión repɾes̺joŋ
barbudo baɾβ̞uð̞ʊ
rafa rafɐ
lentisco lentiskʊ
tonsura t̪ons̺uɾɐ
viño biɲʊ
amenta amɛntɐ
abrigos aβ̞ɾiɣ̞os̺
mención mẽn̪θjoŋ
nutrición nut̪ɾiθjoŋ
falsario fɑls̺aɾjʊ
distinción d̪is̺t̪in̪θjoŋ
tropel tɾɔpɛl
meditación með̞it̪aθjoŋ
dinámica d̪inãmikɐ
reorganización reɔɾɣ̞ɑniθaθjoŋ
condolencia kon̪d̪olen̪θjɐ
pegada peɣaðɐ
fecho fet͡ʃʊ
picada pikaðɐ
cervexa θeɾβeʃa̝
cuadrilla kwað̞ɾiɟɐ
suco sukʊ
brida bɾiðɐ
mazo maθʊ
invención imben̪θjoŋ
malicia maliθi̯ɐ
morcilla moɾθiʎɐ
rubí ruβ̞i
enxerto enʃeɾtʊ
virtude biɾtuðɪ
dentadura dentaðuɾɐ
incompetencia iŋkompet̪ɛn̪θjɐ
bergamota beɾɣamɔtɐ
padrasto pað̞ɾas̺t̪ʊ
madrasta maðɾastɐ
prezo pɾeθʊ
apatía apat̪iɐ
renano renãnʊ
barbeiro baɾβejɾʊ
consolidación kons̺ɔlið̞aθjoŋ
ribeira riβ̞ejɾɐ
estimación es̺t̪imaθjoŋ
seixo s̺ejʃʊ
obstinación ɔβ̞s̺t̪inaθjoŋ
subversión s̺uβ̞β̞ɛɾs̺joŋ
cordura kɔɾðuɾɐ
camba kɑmbɐ
bronca bɾoŋkɐ
árbore aɾβo̝ɾe̝
rexión reʃjoŋ
vinagreta binɑɣ̞ɾet̪ɐ
cociña koθiɲɐ
groso ɡɾɔsʊ
toxo toʃʊ
baldeiro baldejɾʊ
baleiro balejɾʊ
bufandas bufan̪d̪as̺
avoa aβ̞oɐ
azucre aθukɾɪ
axuda aʃuðɐ
castiñeiro kɑstiɲejɾʊ
avogado aβoɣaðʊ
cadro kɑð̞ɾʊ
cheminea t͡ʃemĩnɛɐ
enxeñeiro enʲʃenejɾʊ
xordo ʃoɾð̞ʊ
cóbado koβɐðʊ
almofada ɑlmofað̞ɐ
dodecágono d̪oð̞ekɑɣ̞onʊ
roseta ros̺et̪ɐ
carpinteiro kɑɾpin̪t̪ejɾʊ
carniceiro kɑɾniθejɾʊ
dicionario d̪iθjonaɾjʊ
substancia s̺uβ̞s̺t̪an̪θjɐ
embigo embiɣʊ
xeometría ʃeomɛt̪ɾiɐ
encaixe eŋkai̯ʃɪ
síntese s̺in̪t̪es̺ɪ
escultor es̺kul̪t̪oɾ
cuarzo kwaɾθʊ
xeo ʃeʊ
grosa ɡɾɔsɐ
axente aʃen̪t̪ɪ
xullo ʃuɟʊ
xaneiro ʃanejɾʊ
febreiro feβ̞ɾejɾʊ
campión kɑmpjoŋ
xuño ʃuɲʊ
olivina ɔliβ̞inɐ
chuvia t͡ʃuβ̞jɐ
igrexa iɣ̞ɾeʃɐ
espazo espaθʊ
autoridade ɑwt̪oɾið̞að̞ɪ
arredor aredoɾ
quilómetro kilɔmɛt̪ɾʊ
eixe ejʃɪ
corindón koɾin̪d̪oŋ
pirita piɾit̪ɐ
panela panɛlɐ
sulfato s̺ulfat̪ʊ
disertación d̪is̺ɛɾt̪aθjoŋ
xamón ʃamõŋ
xirafa ʃiɾafɐ
xuíz ʃuiθ
baixo ba̠jʃʊ
xastre ʃas̺t̪ɾɪ
laverca laβ̞ɛɾkɐ
nocello noθeʎʊ
esmeralda esmeɾaldɐ
neno nẽnʊ
decadencia d̪ekɑð̞ɛn̪θjɐ
xanela ʃanɛlɐ
vasoira bas̺ojɾɐ
fiestra fiɛs̺t̪ɾɐ
imaxinación ima̠ʃinaθjoŋ
ventá ben̪t̪a
lóstrego lostɾɪɣʊ
virxe biɾʃɪ
verdade beɾðaðɪ
tardanza taɾðanθa
paquistaní pɑkis̺t̪ani
roco rokʊ
xuventude ʃuβentu
tecnoloxía t̪ɛknoloʃiɐ
colisión kolis̺joŋ
xeración ʃeɾaθjoŋ
galeón ɡɑleoŋ
afín afiŋ
disolución d̪is̺oluθjoŋ
fertilizante feɾt̪iliθan̪t̪ɪ
xenxibre ʃenʲʃiβ̞ɾɪ
xenocidio ʃenoθið̞jʊ
comunidade komũnið̞að̞ɪ
mirasol miɾas̺ɔɫ
pentagrama pen̪t̪ɑɣ̞ɾamɐ
cadea kɑð̞eɐ
estouro estowɾʊ
cadeado kaðeaðo̝
tusido tusiðʊ
xugo ʃuɣʊ
pezoña peθoɲɐ
estío es̺t̪iʊ
pexegueiro peʃeɣejɾʊ
pexego peʃeɣʊ
arandeira aɾandejɾɐ
silveira silβejɾɐ
piollo pjoɟʊ
grima ɡɾimɐ
cirolas θiɾɔlɐs
amorodo amoɾoðʊ
panadeiro panað̞ejɾʊ
rúa ruɐ
ruxido ruʃið̞ʊ
mazá maθaː
